starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 02:20:26 2015	1428646826	91	43	134	41
Fri Apr 10 02:20:26 2015	1428646826	90	44	134	42
Fri Apr 10 02:20:28 2015	1428646828	86	48	135	47
Fri Apr 10 02:20:29 2015	1428646829	91	44	135	41
Fri Apr 10 02:20:28 2015	1428646828	90	46	135	42
Fri Apr 10 02:20:31 2015	1428646831	95	44	138	41
Fri Apr 10 02:20:30 2015	1428646830	97	42	139	40
Fri Apr 10 02:20:29 2015	1428646829	94	45	139	42
Fri Apr 10 02:20:29 2015	1428646829	92	48	140	46
Fri Apr 10 02:20:30 2015	1428646830	96	44	140	43
Fri Apr 10 02:20:31 2015	1428646831	90	50	140	46
Fri Apr 10 02:20:30 2015	1428646830	99	43	142	42
Fri Apr 10 02:20:27 2015	1428646827	97	46	144	43
Fri Apr 10 02:20:29 2015	1428646829	99	45	144	44
Fri Apr 10 02:20:31 2015	1428646831	100	44	144	43
Fri Apr 10 02:20:28 2015	1428646828	93	51	144	47
Fri Apr 10 02:20:31 2015	1428646831	97	47	144	44
Fri Apr 10 02:20:27 2015	1428646827	98	47	145	44
Fri Apr 10 02:20:27 2015	1428646827	99	46	145	43
Fri Apr 10 02:20:30 2015	1428646830	100	49	149	46
Fri Apr 10 02:20:27 2015	1428646827	98	51	149	47
Fri Apr 10 02:20:29 2015	1428646829	97	52	149	47
Fri Apr 10 02:20:31 2015	1428646831	99	50	149	45
Fri Apr 10 02:20:26 2015	1428646826	102	48	150	45
Fri Apr 10 02:20:26 2015	1428646826	103	46	150	44
Fri Apr 10 02:20:27 2015	1428646827	103	47	150	45
Fri Apr 10 02:20:30 2015	1428646830	103	47	150	43
Fri Apr 10 02:20:28 2015	1428646828	104	46	151	42
Fri Apr 10 02:20:29 2015	1428646829	100	51	151	45
Fri Apr 10 02:20:28 2015	1428646828	99	54	153	51
Fri Apr 10 02:20:30 2015	1428646830	108	46	153	43
Fri Apr 10 02:20:28 2015	1428646828	107	47	154	45
Fri Apr 10 02:20:30 2015	1428646830	109	45	154	41
Fri Apr 10 02:20:28 2015	1428646828	102	54	155	49
Fri Apr 10 02:20:31 2015	1428646831	108	47	155	44
Fri Apr 10 02:20:26 2015	1428646826	107	49	156	45
Fri Apr 10 02:20:27 2015	1428646827	102	57	159	46
Fri Apr 10 02:20:29 2015	1428646829	106	57	163	44
Fri Apr 10 02:20:26 2015	1428646826	117	47	165	45
Fri Apr 10 02:20:26 2015	1428646826	115	56	170	54
