starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 05:57:04 2015	1428573424	35	49	84	47
Thu Apr 09 05:57:02 2015	1428573422	39	51	90	46
Thu Apr 09 05:57:02 2015	1428573422	66	49	115	48
Thu Apr 09 05:57:03 2015	1428573423	33	117	149	115
Thu Apr 09 05:57:02 2015	1428573422	36	114	150	113
Thu Apr 09 05:57:04 2015	1428573424	35	118	154	114
Thu Apr 09 05:57:01 2015	1428573421	33	121	154	117
Thu Apr 09 05:57:02 2015	1428573422	39	115	155	112
Thu Apr 09 05:57:03 2015	1428573423	37	118	155	114
Thu Apr 09 05:57:04 2015	1428573424	35	120	155	117
Thu Apr 09 05:57:04 2015	1428573424	33	122	155	122
Thu Apr 09 05:57:01 2015	1428573421	37	119	155	118
Thu Apr 09 05:57:04 2015	1428573424	38	118	156	113
Thu Apr 09 05:57:03 2015	1428573423	42	117	159	116
Thu Apr 09 05:57:03 2015	1428573423	35	124	160	120
Thu Apr 09 05:57:02 2015	1428573422	43	118	160	114
Thu Apr 09 05:57:03 2015	1428573423	36	125	160	118
Thu Apr 09 05:57:02 2015	1428573422	32	137	169	120
Thu Apr 09 05:57:02 2015	1428573422	40	130	170	125
Thu Apr 09 05:57:03 2015	1428573423	56	114	171	111
