starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 00:18:58 2015	1428639538	60	44	103	41
Fri Apr 10 00:18:58 2015	1428639538	63	42	106	41
Fri Apr 10 00:18:57 2015	1428639537	65	41	106	39
Fri Apr 10 00:18:57 2015	1428639537	66	43	109	41
Fri Apr 10 00:18:57 2015	1428639537	66	44	110	40
Fri Apr 10 00:18:59 2015	1428639539	63	47	110	43
Fri Apr 10 00:18:59 2015	1428639539	62	48	110	45
Fri Apr 10 00:18:58 2015	1428639538	63	48	110	42
Fri Apr 10 00:18:58 2015	1428639538	67	43	110	42
Fri Apr 10 00:18:57 2015	1428639537	65	46	111	42
Fri Apr 10 00:18:58 2015	1428639538	62	49	111	49
Fri Apr 10 00:18:58 2015	1428639538	65	49	114	45
Fri Apr 10 00:18:59 2015	1428639539	68	47	115	44
Fri Apr 10 00:18:59 2015	1428639539	66	50	115	45
Fri Apr 10 00:18:59 2015	1428639539	68	52	119	49
Fri Apr 10 00:18:58 2015	1428639538	73	47	120	42
Fri Apr 10 00:18:58 2015	1428639538	63	61	124	39
Fri Apr 10 00:18:59 2015	1428639539	72	57	129	52
Fri Apr 10 00:18:57 2015	1428639537	70	59	129	58
Fri Apr 10 00:18:58 2015	1428639538	86	48	135	43
