starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 01:14:12 2015	1428556452	69	250	319	245
Thu Apr 09 01:14:24 2015	1428556464	62	263	325	259
Thu Apr 09 01:14:27 2015	1428556467	72	258	330	256
Thu Apr 09 01:14:15 2015	1428556455	87	248	335	245
Thu Apr 09 01:14:18 2015	1428556458	65	273	338	270
Thu Apr 09 01:14:14 2015	1428556454	65	273	338	272
Thu Apr 09 01:14:17 2015	1428556457	75	265	339	261
Thu Apr 09 01:14:21 2015	1428556461	61	283	344	280
Thu Apr 09 01:14:11 2015	1428556451	80	284	364	283
Thu Apr 09 01:14:16 2015	1428556456	75	305	380	299
Thu Apr 09 01:14:18 2015	1428556458	70	314	385	308
Thu Apr 09 01:14:13 2015	1428556453	73	316	389	311
Thu Apr 09 01:14:18 2015	1428556458	78	311	390	307
Thu Apr 09 01:14:16 2015	1428556456	61	329	390	324
Thu Apr 09 01:14:19 2015	1428556459	67	323	390	322
Thu Apr 09 01:14:11 2015	1428556451	65	334	399	333
Thu Apr 09 01:14:23 2015	1428556463	80	320	400	318
Thu Apr 09 01:14:20 2015	1428556460	70	335	405	331
Thu Apr 09 01:14:23 2015	1428556463	69	339	408	338
Thu Apr 09 01:14:09 2015	1428556449	69	374	443	366
Thu Apr 09 01:14:26 2015	1428556466	69	380	449	377
Thu Apr 09 01:14:17 2015	1428556457	69	385	454	381
Thu Apr 09 01:14:24 2015	1428556464	81	373	454	369
Thu Apr 09 01:14:25 2015	1428556465	67	387	454	386
Thu Apr 09 01:14:23 2015	1428556463	73	381	455	380
Thu Apr 09 01:14:22 2015	1428556462	67	389	456	386
Thu Apr 09 01:14:25 2015	1428556465	73	422	494	421
Thu Apr 09 01:14:27 2015	1428556467	69	435	504	433
Thu Apr 09 01:14:13 2015	1428556453	72	438	510	436
Thu Apr 09 01:14:12 2015	1428556452	67	448	514	447
Thu Apr 09 01:14:26 2015	1428556466	68	467	535	467
Thu Apr 09 01:14:10 2015	1428556450	84	459	542	457
Thu Apr 09 01:14:14 2015	1428556454	74	480	554	479
Thu Apr 09 01:14:19 2015	1428556459	70	503	573	501
Thu Apr 09 01:14:14 2015	1428556454	72	507	579	504
Thu Apr 09 01:14:21 2015	1428556461	73	508	581	504
Thu Apr 09 01:14:22 2015	1428556462	73	509	582	508
Thu Apr 09 01:14:20 2015	1428556460	73	520	593	519
Thu Apr 09 01:14:15 2015	1428556455	71	527	599	525
Thu Apr 09 01:14:10 2015	1428556450	59	542	601	537
