starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:54:54 2015	1429523694	57	63	120	57
Mon Apr 20 05:54:54 2015	1429523694	57	66	123	63
Mon Apr 20 05:54:54 2015	1429523694	61	63	124	59
Mon Apr 20 05:54:53 2015	1429523693	58	67	125	64
Mon Apr 20 05:54:54 2015	1429523694	61	64	125	58
Mon Apr 20 05:54:53 2015	1429523693	62	67	129	64
Mon Apr 20 05:54:54 2015	1429523694	70	60	130	56
Mon Apr 20 05:54:54 2015	1429523694	63	71	134	62
Mon Apr 20 05:54:54 2015	1429523694	76	65	141	61
Mon Apr 20 05:54:53 2015	1429523693	55	88	143	64
