starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:48:39 2015	1429523319	81	87	168	62
Mon Apr 20 05:48:41 2015	1429523321	85	87	173	61
Mon Apr 20 05:48:41 2015	1429523321	85	90	176	63
Mon Apr 20 05:48:40 2015	1429523320	89	89	178	61
Mon Apr 20 05:48:40 2015	1429523320	95	84	179	59
Mon Apr 20 05:48:40 2015	1429523320	90	91	181	67
Mon Apr 20 05:48:41 2015	1429523321	92	94	186	65
Mon Apr 20 05:48:39 2015	1429523319	110	87	197	63
Mon Apr 20 05:48:40 2015	1429523320	115	87	202	61
Mon Apr 20 05:48:40 2015	1429523320	96	107	203	60
