starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 06:03:27 2015	1429524207	48	55	103	48
Mon Apr 20 06:03:26 2015	1429524206	43	60	104	51
Mon Apr 20 06:03:27 2015	1429524207	48	56	104	47
Mon Apr 20 06:03:26 2015	1429524206	41	65	107	48
Mon Apr 20 06:03:26 2015	1429524206	46	65	111	46
Mon Apr 20 06:03:27 2015	1429524207	46	64	111	48
Mon Apr 20 06:03:26 2015	1429524206	52	63	115	47
Mon Apr 20 06:03:26 2015	1429524206	44	74	118	56
Mon Apr 20 06:03:26 2015	1429524206	59	67	126	50
Mon Apr 20 06:03:27 2015	1429524207	71	65	136	49
