starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 06:04:58 2015	1429524298	37	59	96	56
Mon Apr 20 06:04:58 2015	1429524298	34	64	98	61
Mon Apr 20 06:04:58 2015	1429524298	34	67	101	65
Mon Apr 20 06:04:57 2015	1429524297	38	65	103	58
Mon Apr 20 06:04:57 2015	1429524297	30	74	104	67
Mon Apr 20 06:04:58 2015	1429524298	39	70	108	64
Mon Apr 20 06:04:57 2015	1429524297	41	75	116	62
Mon Apr 20 06:04:58 2015	1429524298	34	83	117	61
Mon Apr 20 06:04:58 2015	1429524298	34	85	119	58
Mon Apr 20 06:04:58 2015	1429524298	35	88	123	62
