starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 00:57:33 2015	1429505853	53	26	79	26
Mon Apr 20 00:57:34 2015	1429505854	55	24	79	23
Mon Apr 20 00:57:34 2015	1429505854	57	23	80	23
Mon Apr 20 00:57:34 2015	1429505854	58	23	81	23
Mon Apr 20 00:57:34 2015	1429505854	58	23	81	23
Mon Apr 20 00:57:34 2015	1429505854	65	23	87	22
Mon Apr 20 00:57:34 2015	1429505854	65	22	87	22
Mon Apr 20 00:57:34 2015	1429505854	64	23	88	23
Mon Apr 20 00:57:34 2015	1429505854	70	21	92	21
Mon Apr 20 00:57:34 2015	1429505854	97	21	119	21
