starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 02:10:21 2015	1429510221	83	85	168	59
Mon Apr 20 02:10:20 2015	1429510220	87	81	169	57
Mon Apr 20 02:10:22 2015	1429510222	91	82	173	57
Mon Apr 20 02:10:22 2015	1429510222	91	82	173	58
Mon Apr 20 02:10:21 2015	1429510221	84	90	174	67
Mon Apr 20 02:10:21 2015	1429510221	90	84	175	60
Mon Apr 20 02:10:21 2015	1429510221	88	94	181	65
Mon Apr 20 02:10:21 2015	1429510221	88	100	188	73
Mon Apr 20 02:10:22 2015	1429510222	93	112	205	85
Mon Apr 20 02:10:22 2015	1429510222	111	105	216	75
